
 t   S_max   P_max  K01    mu1    mu2   sigma1 sigma2
001 -0.0997 0.0151 0.1115 0.0858 0.7845 0.0260 0.1107 
002 +0.0003 0.0003 0.0195 0.0872 0.7804 0.0115 0.0498 
003 +0.0004 0.0004 0.0956 0.0901 0.7687 0.0084 0.0260 
004 +0.0003 0.0003 0.0610 0.0913 0.7674 0.0061 0.0205 
005 +0.0004 0.0004 0.0969 0.0914 0.7706 0.0059 0.0208 
006 +0.0003 0.0003 0.0054 0.0917 0.7635 0.0053 0.0152 
007 +0.0004 0.0004 0.0444 0.0916 0.7601 0.0048 0.0104 
008 +0.0169 0.0169 0.0264 0.0955 0.7643 0.0036 0.0068 
009 +0.0167 0.0167 0.0662 0.0966 0.7618 0.0031 0.0058 
010 +0.0167 0.0167 0.0121 0.0975 0.7629 0.0024 0.0053 
011 +0.0168 0.0168 0.0437 0.0977 0.7649 0.0021 0.0042 
012 +0.0169 0.0169 0.0208 0.0981 0.7671 0.0018 0.0035 
013 +0.0169 0.0169 0.0230 0.0985 0.7684 0.0016 0.0028 
014 +0.0169 0.0169 0.0151 0.0990 0.7686 0.0013 0.0023 
015 +0.0170 0.0170 0.0338 0.0989 0.7702 0.0011 0.0022 
016 +0.0170 0.0170 0.0476 0.0990 0.7716 0.0010 0.0020 
017 +0.0171 0.0171 0.0319 0.0994 0.7731 0.0009 0.0018 
018 +0.0170 0.0170 0.0001 0.0995 0.7724 0.0008 0.0017 
019 +0.0171 0.0171 0.0088 0.0994 0.7729 0.0007 0.0016 
020 +0.0171 0.0171 0.0053 0.0994 0.7736 0.0007 0.0014 
021 +0.0171 0.0171 0.0825 0.0994 0.7739 0.0006 0.0014 
022 +0.0171 0.0171 0.0109 0.0995 0.7741 0.0006 0.0013 
023 +0.0171 0.0171 0.0165 0.0995 0.7741 0.0006 0.0012 
024 -2.7013 0.0150 0.3716 0.0994 0.7730 0.0005 0.0011 
025 +0.0171 0.0171 0.0033 0.0995 0.7734 0.0005 0.0010 
026 +0.0170 0.0170 0.0578 0.0995 0.7732 0.0004 0.0010 


Global maximum (ObjFunc power K01 f Omega):
+0.0171 0.0171 0.0165 0.0991 0.7734 
