
 t   S_max   P_max  K01    mu1    mu2    mu3    mu4   sigma_max 
001 -1.0862 0.0057 0.2092 0.0359 0.1730 0.1206 1.1790 1.0469 
002 -0.0539 0.0041 0.1058 0.0285 0.1629 0.1409 1.2162 0.4042 
003 +0.0067 0.0067 0.0350 0.0302 0.1586 0.1510 1.2262 0.2303 
004 +0.0104 0.0104 0.0843 0.0312 0.1380 0.1739 1.1401 0.2695 
005 +0.0109 0.0109 0.0658 0.0261 0.1411 0.1778 1.2264 0.2632 
006 +0.0102 0.0102 0.0201 0.0257 0.1335 0.1892 1.3115 0.1551 
007 +0.0377 0.1056 0.1068 0.0254 0.1317 0.1822 1.2136 0.1554 
008 +0.0094 0.0094 0.0989 0.0255 0.1362 0.1833 1.2682 0.1101 
009 +0.0092 0.0092 0.0165 0.0257 0.1344 0.1830 1.2660 0.0969 
010 +0.0110 0.0110 0.0208 0.0259 0.1347 0.1779 1.2694 0.0912 
011 +0.0094 0.0094 0.0418 0.0260 0.1310 0.1841 1.3245 0.0922 
012 +0.0105 0.0105 0.0366 0.0254 0.1320 0.1795 1.3000 0.1166 
013 +0.0096 0.0096 0.0145 0.0267 0.1337 0.1782 1.3613 0.1057 
014 +0.0106 0.0106 0.0141 0.0270 0.1333 0.1797 1.3901 0.0821 
015 +0.0099 0.0099 0.0476 0.0252 0.1317 0.1757 1.4201 0.0708 
016 +0.0106 0.0106 0.0693 0.0237 0.1287 0.1777 1.4466 0.0640 
017 +0.0465 0.1473 0.1101 0.0226 0.1284 0.1817 1.4466 0.0571 
018 +0.1400 0.1400 0.0162 0.0222 0.1238 0.1762 1.4653 0.0479 
019 +0.0526 0.1325 0.1080 0.0231 0.1224 0.1700 1.4518 0.0484 
020 +0.1401 0.1401 0.0074 0.0220 0.1216 0.1778 1.4541 0.0429 
021 +0.0183 0.1555 0.1137 0.0217 0.1233 0.1762 1.4496 0.0457 
022 +0.1296 0.1296 0.0949 0.0216 0.1222 0.1700 1.4475 0.0441 
023 +0.0111 0.0111 0.0679 0.0226 0.1228 0.1680 1.4277 0.0398 
024 +0.0258 0.1393 0.1114 0.0235 0.1241 0.1661 1.4351 0.0352 
025 +0.0117 0.0117 0.0463 0.0240 0.1257 0.1715 1.4483 0.0348 
026 +0.1166 0.1166 0.0709 0.0247 0.1263 0.1643 1.4251 0.0304 
027 +0.1214 0.1214 0.0095 0.0242 0.1238 0.1650 1.4290 0.0337 
028 +0.0118 0.0118 0.0392 0.0243 0.1241 0.1657 1.4176 0.0313 
029 +0.0100 0.0100 0.0131 0.0228 0.1232 0.1648 1.4126 0.0365 
030 +0.1308 0.1308 0.0657 0.0216 0.1240 0.1627 1.4313 0.0352 
031 +0.1188 0.1188 0.0730 0.0217 0.1245 0.1572 1.4390 0.0350 
032 +0.1280 0.1280 0.0419 0.0219 0.1244 0.1568 1.4539 0.0363 
033 +0.1331 0.1331 0.0043 0.0224 0.1234 0.1588 1.4508 0.0349 
034 +0.0419 0.1406 0.1099 0.0227 0.1239 0.1614 1.4682 0.0328 
035 +0.1262 0.1262 0.0098 0.0223 0.1252 0.1583 1.4680 0.0324 
036 +0.1382 0.1382 0.0803 0.0223 0.1257 0.1609 1.4795 0.0305 
037 +0.1373 0.1373 0.0518 0.0224 0.1252 0.1611 1.4848 0.0284 
038 +0.1369 0.1369 0.0749 0.0229 0.1244 0.1615 1.4811 0.0267 
039 +0.1383 0.1383 0.0153 0.0229 0.1230 0.1602 1.4840 0.0253 
040 +0.1273 0.1273 0.0404 0.0235 0.1233 0.1616 1.4806 0.0242 
041 +0.1397 0.1397 0.0129 0.0228 0.1242 0.1656 1.4814 0.0228 
042 +0.1375 0.1375 0.0777 0.0228 0.1231 0.1708 1.4658 0.0231 
043 +0.1382 0.1382 0.0466 0.0224 0.1216 0.1725 1.4579 0.0220 
044 +0.1440 0.1440 0.0625 0.0216 0.1211 0.1775 1.4682 0.0219 
045 +0.1444 0.1444 0.0803 0.0222 0.1202 0.1801 1.4635 0.0219 
046 +0.1347 0.1347 0.0829 0.0215 0.1188 0.1793 1.4661 0.0210 
047 +0.1463 0.1463 0.0742 0.0224 0.1180 0.1799 1.4682 0.0209 
048 +0.0124 0.0124 0.0069 0.0226 0.1174 0.1801 1.4736 0.0200 
049 +0.1443 0.1443 0.0480 0.0225 0.1174 0.1737 1.4751 0.0193 
050 +0.1457 0.1457 0.0401 0.0229 0.1172 0.1747 1.4783 0.0190 
051 +0.1432 0.1432 0.0140 0.0231 0.1161 0.1735 1.4751 0.0185 
052 +0.1425 0.1425 0.0308 0.0232 0.1161 0.1726 1.4798 0.0185 
053 +0.1488 0.1488 0.0634 0.0225 0.1161 0.1780 1.4764 0.0179 
054 +0.1458 0.1458 0.0648 0.0229 0.1159 0.1796 1.4637 0.0169 
055 +0.1469 0.1469 0.0684 0.0231 0.1157 0.1824 1.4761 0.0169 
056 +0.1468 0.1468 0.0553 0.0235 0.1146 0.1821 1.4751 0.0162 
057 +0.1503 0.1503 0.0454 0.0235 0.1137 0.1835 1.4774 0.0162 
058 +0.1524 0.1524 0.0093 0.0233 0.1137 0.1873 1.4781 0.0160 
059 +0.1538 0.1538 0.0035 0.0229 0.1122 0.1887 1.4810 0.0156 
060 +0.1544 0.1544 0.0677 0.0232 0.1125 0.1916 1.4818 0.0149 
061 +0.0145 0.0145 0.0006 0.0234 0.1114 0.1921 1.4785 0.0148 
062 +0.1516 0.1516 0.0760 0.0236 0.1117 0.1909 1.4773 0.0146 
063 +0.1550 0.1550 0.0907 0.0230 0.1108 0.1895 1.4828 0.0139 
064 +0.1556 0.1556 0.0014 0.0230 0.1109 0.1894 1.4869 0.0138 
065 +0.1591 0.1591 0.0444 0.0229 0.1103 0.1940 1.4872 0.0132 
066 +0.1567 0.1567 0.0477 0.0229 0.1106 0.1935 1.4860 0.0132 
067 +0.0144 0.0144 0.0840 0.0229 0.1102 0.1930 1.4795 0.0134 
068 +0.1553 0.1553 0.0992 0.0229 0.1101 0.1910 1.4840 0.0130 
069 +0.1526 0.1526 0.0902 0.0230 0.1100 0.1872 1.4819 0.0130 
070 +0.1545 0.1545 0.0398 0.0231 0.1097 0.1860 1.4838 0.0128 
071 +0.1558 0.1558 0.0026 0.0231 0.1094 0.1876 1.4855 0.0124 
072 +0.1543 0.1543 0.0399 0.0231 0.1093 0.1864 1.4863 0.0123 
073 +0.1546 0.1546 0.0036 0.0234 0.1088 0.1866 1.4806 0.0118 
074 +0.1497 0.1497 0.0286 0.0233 0.1089 0.1849 1.4782 0.0119 
075 +0.1568 0.1568 0.0231 0.0230 0.1091 0.1869 1.4846 0.0114 
076 +0.1565 0.1565 0.0459 0.0232 0.1094 0.1895 1.4872 0.0113 
077 +0.1575 0.1575 0.0524 0.0231 0.1091 0.1916 1.4866 0.0112 
078 +0.1591 0.1591 0.0504 0.0231 0.1081 0.1942 1.4862 0.0110 
079 +0.1593 0.1593 0.0662 0.0231 0.1076 0.1955 1.4865 0.0110 
