
 S_max   P_max  K01    mu1    mu2 
-8.7633 0.0004 0.9764 0.0800 0.7500  
-8.9698 0.0004 0.9970 0.0800 0.7504  
-3.6407 0.0003 0.4641 0.0800 0.7508  
-8.9182 0.0004 0.9919 0.0800 0.7512  
-4.4691 0.0003 0.5469 0.0800 0.7516  
-8.9619 0.0004 0.9962 0.0800 0.7520  
-8.8359 0.0004 0.9836 0.0800 0.7524  
-8.8503 0.0006 0.9851 0.0800 0.7527  
-8.9586 0.0017 0.9960 0.0800 0.7531  
-7.9075 0.0004 0.8908 0.0800 0.7535  
-8.8372 0.0004 0.9838 0.0800 0.7539  
-6.8768 0.0014 0.7878 0.0800 0.7543  
+0.0004 0.0004 0.0116 0.0800 0.7547  
-5.0646 0.0004 0.6065 0.0800 0.7551  
-4.9408 0.0004 0.5941 0.0800 0.7555  
-8.9274 0.0004 0.9928 0.0800 0.7559  
-8.7736 0.0004 0.9774 0.0800 0.7563  
-8.2894 0.0004 0.9290 0.0800 0.7567  
-8.9447 0.0004 0.9945 0.0800 0.7571  
-8.8356 0.0004 0.9836 0.0800 0.7575  
-8.9486 0.0016 0.9950 0.0800 0.7578  
-7.6457 0.0004 0.8646 0.0800 0.7582  
-8.8893 0.0011 0.9890 0.0800 0.7586  
-8.9267 0.0025 0.9929 0.0800 0.7590  
-8.8831 0.0027 0.9886 0.0800 0.7594  
-8.7454 0.0004 0.9746 0.0800 0.7598  
-8.9129 0.0004 0.9913 0.0800 0.7602  
-8.9793 0.0004 0.9980 0.0800 0.7606  
-5.1817 0.0004 0.6182 0.0800 0.7610  
-8.9270 0.0004 0.9927 0.0800 0.7614  
-8.8731 0.0009 0.9874 0.0800 0.7618  
-8.9146 0.0023 0.9917 0.0800 0.7622  
-8.9565 0.0004 0.9957 0.0800 0.7625  
-8.9587 0.0074 0.9966 0.0800 0.7629  
-8.9427 0.0004 0.9943 0.0800 0.7633  
-8.7690 0.0004 0.9769 0.0800 0.7637  
-6.2219 0.0004 0.7222 0.0800 0.7641  
-8.8607 0.0004 0.9861 0.0800 0.7645  
+0.0004 0.0004 0.0768 0.0800 0.7649  
-7.9720 0.0004 0.8972 0.0800 0.7653  
-8.8119 0.0004 0.9812 0.0800 0.7657  
-8.8854 0.0059 0.9891 0.0800 0.7661  
-8.7493 0.0063 0.9756 0.0800 0.7665  
