
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
-8.9521 0.0077 0.9960 0.0100 0.0500 0.0500 0.5000 
-8.6204 0.0098 0.9630 0.0100 0.0500 0.0500 0.5667 
-8.8901 0.0121 0.9902 0.0100 0.0500 0.0500 0.6333 
-8.8046 0.0140 0.9819 0.0100 0.0500 0.0500 0.7000 
-8.9752 0.0161 0.9991 0.0100 0.0500 0.0500 0.7667 
-8.9321 0.0204 0.9952 0.0100 0.0500 0.0500 0.8333 
-8.7410 0.0215 0.9763 0.0100 0.0500 0.0500 0.9000 
-8.8069 0.0258 0.9833 0.0100 0.0500 0.0500 0.9667 
-8.8656 0.0289 0.9895 0.0100 0.0500 0.0500 1.0333 
-8.2695 0.0332 0.9303 0.0100 0.0500 0.0500 1.1000 
-8.7091 0.0367 0.9746 0.0100 0.0500 0.0500 1.1667 
-8.9551 0.0392 0.9994 0.0100 0.0500 0.0500 1.2333 
-8.9458 0.0417 0.9988 0.0100 0.0500 0.0500 1.3000 
-8.9175 0.0517 0.9969 0.0100 0.0500 0.0500 1.3667 
+0.0026 0.0026 0.0209 0.0100 0.0500 0.0500 1.4333 
-8.2492 0.0615 0.9311 0.0100 0.0500 0.0500 1.5000 
-8.7966 0.0085 0.9805 0.0100 0.0500 0.0600 0.5000 
-8.9497 0.0111 0.9961 0.0100 0.0500 0.0600 0.5667 
-8.9537 0.0137 0.9967 0.0100 0.0500 0.0600 0.6333 
-8.8693 0.0155 0.9885 0.0100 0.0500 0.0600 0.7000 
-8.9644 0.0171 0.9981 0.0100 0.0500 0.0600 0.7667 
-8.9683 0.0232 0.9991 0.0100 0.0500 0.0600 0.8333 
-8.8774 0.0271 0.9904 0.0100 0.0500 0.0600 0.9000 
-8.9622 0.0239 0.9986 0.0100 0.0500 0.0600 0.9667 
-8.2793 0.0340 0.9313 0.0100 0.0500 0.0600 1.0333 
-8.8299 0.0386 0.9868 0.0100 0.0500 0.0600 1.1000 
-8.9252 0.0428 0.9968 0.0100 0.0500 0.0600 1.1667 
-8.5209 0.0508 0.9572 0.0100 0.0500 0.0600 1.2333 
-8.7103 0.0527 0.9763 0.0100 0.0500 0.0600 1.3000 
-8.6937 0.0573 0.9751 0.0100 0.0500 0.0600 1.3667 
-8.5957 0.0637 0.9659 0.0100 0.0500 0.0600 1.4333 
-8.9115 0.0697 0.9981 0.0100 0.0500 0.0600 1.5000 
-8.8858 0.0095 0.9895 0.0100 0.0500 0.0700 0.5000 
-8.9367 0.0122 0.9949 0.0100 0.0500 0.0700 0.5667 
-8.8704 0.0148 0.9885 0.0100 0.0500 0.0700 0.6333 
-8.9585 0.0178 0.9976 0.0100 0.0500 0.0700 0.7000 
-8.6821 0.0200 0.9702 0.0100 0.0500 0.0700 0.7667 
-8.9721 0.0235 0.9996 0.0100 0.0500 0.0700 0.8333 
-8.9279 0.0320 0.9960 0.0100 0.0500 0.0700 0.9000 
-8.4138 0.0310 0.9445 0.0100 0.0500 0.0700 0.9667 
-6.7581 0.0382 0.7796 0.0100 0.0500 0.0700 1.0333 
+0.0025 0.0025 0.0045 0.0100 0.0500 0.0700 1.1000 
-1.2360 0.0027 0.2239 0.0100 0.0500 0.0700 1.1667 
-8.8488 0.0115 0.9860 0.0100 0.0500 0.0700 1.2333 
-8.9260 0.0570 0.9983 0.0100 0.0500 0.0700 1.3000 
-8.8813 0.0655 0.9947 0.0100 0.0500 0.0700 1.3667 
-6.6645 0.0107 0.7675 0.0100 0.0500 0.0700 1.4333 
+0.0039 0.0039 0.0146 0.0100 0.0500 0.0700 1.5000 
-8.9101 0.0105 0.9921 0.0100 0.0500 0.0800 0.5000 
-8.9653 0.0123 0.9978 0.0100 0.0500 0.0800 0.5667 
-8.9799 0.0147 0.9995 0.0100 0.0500 0.0800 0.6333 
-8.8298 0.0202 0.9850 0.0100 0.0500 0.0800 0.7000 
-8.6197 0.0222 0.9642 0.0100 0.0500 0.0800 0.7667 
-8.8939 0.0245 0.9918 0.0100 0.0500 0.0800 0.8333 
-8.9609 0.0320 0.9993 0.0100 0.0500 0.0800 0.9000 
-8.9474 0.0352 0.9983 0.0100 0.0500 0.0800 0.9667 
-8.9388 0.0400 0.9979 0.0100 0.0500 0.0800 1.0333 
-8.3035 0.0419 0.9345 0.0100 0.0500 0.0800 1.1000 
-8.8814 0.0532 0.9935 0.0100 0.0500 0.0800 1.1667 
-0.0588 0.0034 0.1062 0.0100 0.0500 0.0800 1.2333 
-2.5562 0.0036 0.3560 0.0100 0.0500 0.0800 1.3000 
+0.0039 0.0039 0.0471 0.0100 0.0500 0.0800 1.3667 
-8.9162 0.0244 0.9941 0.0100 0.0500 0.0800 1.4333 
+0.0044 0.0044 0.0944 0.0100 0.0500 0.0800 1.5000 
-8.9719 0.0095 0.9981 0.0100 0.0500 0.0900 0.5000 
-8.9315 0.0137 0.9945 0.0100 0.0500 0.0900 0.5667 
-8.8668 0.0178 0.9885 0.0100 0.0500 0.0900 0.6333 
-8.7000 0.0229 0.9723 0.0100 0.0500 0.0900 0.7000 
-8.9328 0.0255 0.9958 0.0100 0.0500 0.0900 0.7667 
-8.0562 0.0308 0.9087 0.0100 0.0500 0.0900 0.8333 
+0.0025 0.0025 0.0081 0.0100 0.0500 0.0900 0.9000 
-8.8571 0.0299 0.9887 0.0100 0.0500 0.0900 0.9667 
-0.8402 0.0030 0.1843 0.0100 0.0500 0.0900 1.0333 
-8.9257 0.0033 0.9929 0.0100 0.0500 0.0900 1.1000 
-8.7430 0.0564 0.9799 0.0100 0.0500 0.0900 1.1667 
-1.2169 0.0038 0.2221 0.0100 0.0500 0.0900 1.2333 
-1.9772 0.0041 0.2981 0.0100 0.0500 0.0900 1.3000 
-5.2908 0.0287 0.6320 0.0100 0.0500 0.0900 1.3667 
-0.8129 0.0047 0.1818 0.0100 0.0500 0.0900 1.4333 
+0.0050 0.0050 0.0076 0.0100 0.0500 0.0900 1.5000 
-8.8372 0.0113 0.9849 0.0100 0.0500 0.1000 0.5000 
-8.9709 0.0144 0.9985 0.0100 0.0500 0.1000 0.5667 
-8.9354 0.0188 0.9954 0.0100 0.0500 0.1000 0.6333 
